Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,52_Week_High,52_Week_Low,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_125,SMA_200
WFC,Wells Fargo,Financials,Diversified Banks,81.41,84.33,49.13,81.04,80.74,80.29,80.15,77.26,75.24,74.58
WELL,Welltower,Real Estate,Health Care REITs,168.92,170.99,120.11,168.69,168.35,167.05,163.43,156.68,154.5,147.42
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,257.53,351.24,187.09,256.41,252.61,249.16,241.18,228.37,225.88,252.97
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",102.39,103.78,28.74,97.15,92.93,85.49,76.64,64.42,59.21,55.33
WY,Weyerhaeuser,Real Estate,Timber REITs,24.82,33.04,23.71,25.18,25.33,25.63,25.58,25.71,25.99,27.19
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,201.07,218.08,123.89,201.37,199.95,198.4,190.65,175.63,170.98,178.99
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,58.4,62.92,42.53,58.28,57.57,57.17,57.59,58.13,57.97,56.76
WTW,Willis Towers Watson,Financials,Insurance Brokers,333.7,342.16,282.71,334.53,331.66,332.4,321.72,313.76,316.18,317.3
WDAY,"Workday, Inc.",Information Technology,Application Software,222.75,294.0,205.33,226.0,228.64,227.98,229.12,239.04,238.01,246.32
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,122.85,128.53,64.93,122.51,123.0,120.09,113.42,101.19,96.53,92.93
XEL,Xcel Energy,Utilities,Multi-Utilities,73.05,74.57,60.59,72.72,72.48,72.7,71.93,70.37,70.09,68.9
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,141.74,144.93,99.87,140.07,140.3,141.23,137.92,131.26,127.71,125.87
YUM,Yum! Brands,Consumer Discretionary,Restaurants,148.9,161.72,120.38,147.87,146.56,146.83,146.0,145.4,146.28,143.12
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,320.91,427.76,205.73,313.59,311.96,314.29,321.48,303.44,293.88,321.81
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,100.96,114.14,88.99,102.89,103.97,104.86,99.36,96.85,98.74,101.53
ZTS,Zoetis,Health Care,Pharmaceuticals,146.25,197.92,138.77,148.85,150.78,153.07,152.03,156.11,155.94,160.17
