Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,60.74,65.4,49.96,60.03,59.99,61.71,61.31,58.09,-0.2,8.96,66.18,57.24
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,348.49,589.91,315.53,343.66,335.06,343.53,392.97,484.97,-0.2,7.63,375.08,311.96
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,205.42,205.42,121.95,202.58,200.99,196.16,190.23,159.21,0.0,0.66,206.78,185.54
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",311.1,363.48,176.29,312.44,314.98,324.97,304.04,299.96,-0.2,12.49,349.96,299.99
SPGI,S&P Global,Financials,Financial Exchanges & Data,439.87,560.76,389.85,424.42,419.08,434.69,490.82,506.67,-0.2,15.68,508.84,360.53
CRM,Salesforce,Information Technology,Application Software,193.6,295.92,178.16,189.68,188.06,191.94,225.66,246.6,-0.2,7.82,208.74,175.14
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",651.9,695.51,29.62,647.85,630.82,613.38,448.33,188.03,0.0,6.52,694.4,532.34
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,199.66,239.71,179.65,198.05,198.94,192.22,190.24,204.86,-0.1,4.42,208.48,175.96
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,51.41,51.85,31.0,51.53,51.19,50.52,46.08,37.38,0.0,2.7,52.8,48.23
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",409.89,446.57,65.81,408.97,413.1,416.46,356.77,230.83,0.2,7.64,441.21,391.72
SRE,Sempra,Utilities,Multi-Utilities,96.31,96.31,62.32,94.72,93.96,91.08,89.36,84.31,0.0,1.55,97.8,84.36
